user@ubuntuvm:~/Downloads$ python lab1.py
"pid","laddr","raddr","status"
"5403","192.168.56.129@46456","216.58.195.229@443","ESTABLISHED"
"5403","192.168.56.129@59685","216.58.194.195@443","ESTABLISHED"
"5403","192.168.56.129@37803","74.125.28.189@443","ESTABLISHED"
"5403","192.168.56.129@56458","216.58.194.202@443","ESTABLISHED"
"5403","192.168.56.129@50255","172.217.6.46@443","ESTABLISHED"
"5403","192.168.56.129@50278","172.217.6.46@443","ESTABLISHED"
"5403","192.168.56.129@57880","216.58.195.238@443","ESTABLISHED"
"5403","192.168.56.129@50321","172.217.6.46@443","ESTABLISHED"
"5403","192.168.56.129@59683","216.58.194.195@443","ESTABLISHED"
"5403","192.168.56.129@44812","216.58.194.205@443","ESTABLISHED"
"5403","192.168.56.129@54336","216.58.194.206@80","ESTABLISHED"
"5403","192.168.56.129@57879","216.58.195.238@443","ESTABLISHED"
"5403","192.168.56.129@54347","216.58.194.206@80","ESTABLISHED"
"5403","192.168.56.129@46455","216.58.195.229@443","ESTABLISHED"
"5403","192.168.56.129@57882","216.58.195.238@443","ESTABLISHED"
"6619","192.168.56.129@57869","216.58.195.238@443","ESTABLISHED"
"6619","192.168.56.129@50306","172.217.6.46@443","ESTABLISHED"
"6619","192.168.56.129@50301","172.217.6.46@443","ESTABLISHED"
